Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
395562,WHOSIS_000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,SEX_MLE,2016,,,,,,,59.5 [58.4-60.6],59.48619,58.41669,60.62098,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
395849,WHOSIS_000001,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2009,,,,,,,63.4 [62.4-64.7],63.35758,62.38368,64.67865,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
397505,WHOSIS_000001,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2009,,,,,,,72.2 [71.4-73.0],72.16145,71.4134,73.02081,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
397564,WHOSIS_000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2008,,,,,,,57.5 [56.7-58.4],57.51223,56.66203,58.42206,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
398916,WHOSIS_000001,COUNTRY,MUS,YEAR,AFR,Africa,SEX,SEX_MLE,2018,,,,,,,70.9 [70.7-71.0],70.85811,70.70101,71.03262,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
401271,WHOSIS_000001,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2017,,,,,,,65.6 [64.5-66.7],65.62912,64.50857,66.72861,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
401610,WHOSIS_000001,COUNTRY,GUY,YEAR,AMR,Americas,SEX,SEX_FMLE,2014,,,,,,,70.0 [69.5-70.5],69.96907,69.49554,70.49938,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
401878,WHOSIS_000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2020,,,,,,,78.6 [78.6-78.7],78.61256,78.58389,78.7236,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
404243,WHOSIS_000001,COUNTRY,URY,YEAR,AMR,Americas,SEX,SEX_BTSX,2017,,,,,,,77.3 [77.3-77.4],77.33934,77.28415,77.44431,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
405085,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2011,,,,,,,79.9 [79.9-80.0],79.90068,79.8939,79.98565,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
405731,WHOSIS_000001,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2005,,,,,,,58.5 [57.4-59.7],58.50495,57.3617,59.74773,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
405963,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_MLE,2019,,,,,,,78.8 [78.8-78.9],78.79704,78.77373,78.89234,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
407393,WHOSIS_000001,COUNTRY,PAN,YEAR,AMR,Americas,SEX,SEX_MLE,2019,,,,,,,76.2 [75.9-76.5],76.19821,75.94553,76.47514,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
407739,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_FMLE,2008,,,,,,,82.3 [82.2-82.3],82.2645,82.20669,82.32231,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
408541,WHOSIS_000001,COUNTRY,STP,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,73.1 [72.6-73.6],73.06442,72.63974,73.63055,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
409037,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,SEX_BTSX,2008,,,,,,,75.1 [74.8-75.4],75.05553,74.82533,75.37191,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
410734,WHOSIS_000001,COUNTRY,RWA,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,53.3 [52.4-54.0],53.26183,52.40222,54.04766,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
411005,WHOSIS_000001,COUNTRY,BDI,YEAR,AFR,Africa,SEX,SEX_FMLE,2010,,,,,,,60.9 [60.3-61.6],60.86568,60.28494,61.59775,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
411766,WHOSIS_000001,COUNTRY,MLI,YEAR,AFR,Africa,SEX,SEX_MLE,2014,,,,,,,59.3 [58.5-60.3],59.29738,58.51854,60.25696,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
411882,WHOSIS_000001,COUNTRY,RWA,YEAR,AFR,Africa,SEX,SEX_BTSX,2009,,,,,,,63.0 [62.3-63.7],62.96874,62.31503,63.65895,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
411972,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,SEX_FMLE,2009,,,,,,,78.0 [77.6-78.4],77.98189,77.64316,78.38017,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
412284,WHOSIS_000001,REGION,EMR,YEAR,,,SEX,SEX_BTSX,2010,,,,,,,68.1 [67.4-68.9],68.1402,67.44996,68.93793,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
413858,WHOSIS_000001,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_FMLE,2013,,,,,,,76.6 [76.2-77.2],76.64739,76.15265,77.22789,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
415516,WHOSIS_000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,SEX_MLE,2015,,,,,,,57.8 [56.8-58.8],57.82797,56.81836,58.78139,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
416645,WHOSIS_000001,COUNTRY,TLS,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2019,,,,,,,68.5 [67.7-69.4],68.4988,67.72299,69.41677,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
417667,WHOSIS_000001,REGION,EUR,YEAR,,,SEX,SEX_FMLE,2013,,,,,,,80.0 [80.0-80.2],80.03937,79.97936,80.17735,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
419226,WHOSIS_000001,COUNTRY,TZA,YEAR,AFR,Africa,SEX,SEX_BTSX,2015,,,,,,,65.2 [64.6-65.9],65.1572,64.56824,65.9097,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
