SpatialDim,TimeDim,Obesity,Undernourishment
USA,2017,38.4,1.6
USA,2017,38.4,2.1
LKA,2019,12.1,12.5
LKA,2019,12.1,14.3
LKA,2019,12.1,16.4
IND,1990,1.1,41.4
IND,1990,1.1,41.8
IND,1990,1.1,41.0
USA,1996,21.7,2.5
USA,1996,21.7,1.0
USA,1996,21.7,1.8
LKA,2004,1.8,26.4
LKA,2004,1.8,24.2
LKA,2004,1.8,22.1
USA,2000,27.5,2.3
USA,2000,27.5,1.0
USA,2000,27.5,1.7
LKA,2002,1.5,27.9
LKA,2002,1.5,23.7
LKA,2002,1.5,25.8
LKA,2013,3.6,15.8
LKA,2013,3.6,20.0
LKA,2013,3.6,17.8
LKA,2015,9.5,16.5
LKA,2015,9.5,14.6
LKA,2015,9.5,18.7
LKA,2001,3.8,26.5
LKA,2001,3.8,28.6
LKA,2001,3.8,24.5
LKA,2020,5.8,12.0
LKA,2020,5.8,15.9
LKA,2020,5.8,13.9
GBR,2012,24.0,1.1
GBR,2012,24.0,1.7
GBR,2012,24.0,1.4
KEN,1997,4.9,11.4
KEN,1997,4.9,19.2
KEN,1997,4.9,15.2
USA,2014,37.9,1.6
USA,2014,37.9,2.2
USA,2014,37.9,1.1
USA,2015,37.5,1.6
USA,2015,37.5,1.1
USA,2015,37.5,2.1
USA,2022,43.2,2.1
USA,2022,43.2,1.7
USA,2022,43.2,1.4
LKA,2006,5.3,22.7
LKA,2006,5.3,25.0
LKA,2006,5.3,20.6
KEN,2022,18.5,8.2
KEN,2022,18.5,11.8
KEN,2022,18.5,15.5
KEN,1991,3.4,20.5
KEN,1991,3.4,11.7
KEN,1991,3.4,16.0
USA,2009,35.2,2.2
USA,2009,35.2,1.0
USA,2009,35.2,1.6
IND,2021,8.9,13.9
IND,2021,8.9,15.5
IND,2021,8.9,14.7
GBR,2009,24.0,1.4
GBR,2009,24.0,1.7
GBR,2009,24.0,1.1
KEN,1990,2.3,20.7
KEN,1990,2.3,16.1
KEN,1990,2.3,11.8
IND,2002,2.1,32.7
IND,2002,2.1,31.1
IND,2002,2.1,31.9
IND,2017,7.3,17.3
IND,2017,7.3,18.9
IND,2017,7.3,18.1
GBR,2017,25.8,1.5
